id,word_en,word_fr,example_en
5523,slopes,"pentes, versants, déclivités","She loved to walk on the long gentle slopes of the old hill behind the village."
5524,traits,"traits, caractéristiques, attributs","She shared several very distinctive creative traits with the writers she most admired."
5525,darted,"fila, s'élança, a jeté","She darted a very quick and very searching glance at the letter on the desk."
5526,synonymous,"synonyme, équivalent","Her name had become virtually synonymous with excellence in literary translation."
5527,smoked,"fuma, a fumé, fumé","The old fireplace smoked badly whenever the wind came from the north."
5528,folds,"plis, replis, enveloppe, plier","She found the old letter hidden deep in the folds of a very ancient curtain."
5529,spacious,"spacieux, vaste, ample","She finally found a very spacious and very light studio in which to work."
5530,hire,"louer, engager, location","She decided to hire a very experienced researcher to help with the detailed work."
5531,avenue,"avenue, voie, possibilité","She explored every possible avenue before coming to her very carefully considered conclusion."
5532,cured,"guéri, traité, séché, a guéri","She was completely cured of her creative block by a long and restorative holiday."
5533,villain,"villain, méchant, scélérat","She always had a great deal of sympathy even for the villain of her stories."
5534,advances,"avances, progrès, s'avance","She received very generous advances for her most ambitious and most celebrated novels."
5535,compensation,"compensation, indemnisation, salaire","She had never sought any compensation for the very great personal sacrifices she had made."
5536,richest,"le plus riche, le plus fertile","She produced her richest and most generous work during the very last years of her life."
5537,revolutionary,"révolutionnaire, novateur","Her approach to the subject was considered completely revolutionary and very challenging."
5538,brightness,"éclat, luminosité, intelligence","She had a quality of brightness about her that lit up every room she entered."
5539,realised,"réalisa, a pris conscience, compris","She suddenly realised that she had been approaching the problem in completely the wrong way."
5540,earnestness,"sérieux, sincérité, ardeur","She spoke with such obvious earnestness that even the most sceptical were convinced."
5541,tearing,"déchirant, arrachant, qui déchire","She was tearing through the pages of the new novel with great excitement."
5542,beggar,"mendiant, gueux","She felt like a very small beggar at the very grand feast of world literature."
5543,canoes,"canoës, pirogues","Several small canoes were pulled up on the sandy bank of the wide quiet river."
5544,expressive,"expressif, éloquent, significatif","She had wonderfully expressive eyes that communicated everything before she even spoke."
5545,eyebrows,sourcils,"She raised her eyebrows very slightly when she read the most unexpected line."
5546,rewarded,"récompensé, a récompensé","Her extraordinary patience and persistence were finally very richly rewarded."
5547,accuracy,"précision, exactitude, justesse","She was known above all things for the absolute accuracy of everything she wrote."
5548,pitiful,"pitoyable, lamentable, misérable","She found the whole very sorry spectacle absolutely pitiful and deeply distressing."
5549,subordinate,"subordonné, secondaire, subalterne","She refused to treat any aspect of her craft as merely subordinate to any other."
5550,emphasis,"emphase, insistance, accentuation","She placed the greatest possible emphasis on truth and on absolute clarity."
5551,engineer,"ingénieur, mécanicien, concevoir","She managed to engineer a very clever and very satisfying solution to the problem."
5552,kindled,"alluma, a enflammé, a éveillé","The old story kindled a very deep and very lasting passion for literature in her."
5553,circulation,"circulation, tirage, diffusion","Her books had a very wide circulation and were read throughout the whole world."
5554,team,"équipe, attelage, travailler en équipe","She worked very well as part of a team but was most creative when alone."
5555,attentive,"attentif, prévenant, soigneux","She was always very attentive to the needs of all those around her."
5556,choked,"s'étrangla, a étouffé, obstrué","She almost choked with suppressed laughter when she read the very funny passage."
5557,proudly,"fièrement, avec fierté","She proudly presented her finished manuscript to the publisher she most respected."
5558,alongside,"aux côtés de, à côté de, le long de","She worked very comfortably alongside some of the most talented people of her generation."
